3,6,0,1,3
4,2,1,3,1
6,5,2,3,3
7,6,2,8,6
0,2,4,1,2
1,3,5,2,1
2,1,3,0,0
5,4,3,6,4
1,4,2,3,2
5,6,8,3,6
36,27,26,16,26
34,24,92,26,24
14,11,12,10,11
9,29,19,20,19
6,7,3,5,6
9,7,5,8,8
5,14,2,6,6
6,5,7,17,7
7,8,18,9,8
22,2,12,14,12
24,14,36,34,34
9,8,6,7,9
12,14,13,23,13
7,5,6,9,6
8,17,7,6,7
2,1,4,3,2
6,4,7,5,5
4,7,14,6,4
73,63,51,62,63
1,0,5,2,1
5,0,2,1,1
19,71,27,17,17
10,7,9,8,9
16,26,18,20,16
5,7,2,3,3
10,2,5,3,5
4,6,3,5,3
12,01,11,10,10
111,112,121,221,121
18,11,9,8,9
8,18,9,6,8
35,20,25,24,25
14,5,7,4,4
115,152,151,51,151
400,401,390,399,399
10,12,22,18,12
5,6,8,12,5
6,8,5,7,5
43,33,44,13,43
81,92,82,91,91
18,25,28,34,28
60,70,75,65,65
14,12,11,22,12
25,14,13,15,15
238,348,338,358,338
4,8,2,16,2
255,156,154,164,154
9,10,11,19,11
41,61,52,51,51
30,19,29,17,29
18,8,29,29,18
12,14,9,7,9
32,22,12,23,22
245,343,123,143,143
63,57,93,61,63
42,38,46,48,48
160,159,149,157,159
2,12,-2,-4,-2
10,-10,-01,11,-10
10,9,12,-9,-9
-100,-110,100,-40,-100
-6,-5,6,-16,6
53,35,-35,63,53
19,13,-23,-13,-13
78,68,-68,-78,-78
-18,18,-28,28,-18
10,-10,-6,14,-6
54,65,-45,-54,-54
7,-1,1,-7,-1
8,7,-8,-9,-9
3,-3,-9,9,-9
-75,125,-125,-100,-100
5,-5,6,-4,-5
-150,100,151,150,150
-9,-8,8,-9,-9
9,-9,19,-8,9
5,-5,-6,7,-6
-36,37,-35,36,36
90,-90,80,-80,90
4.6,6.4,4,6,4.6
16,0.16,160,-1.6,16
42,40,32,52,42
42,30,40,26,30
5,-5,7,4,5
4,2,6,3,3
0,32,56,46,46
216,7230,106,372,216
105,176,26,16,176
25,6,28,7,25
11,16,14,15,14



