3,6,2,1,3
9,10,8,6,8
2,5,0,3,0
3,5,15,10,3
40,8,10,15,10
5,4,8,9,9
0,14,15,20,14
3,5,0,15,0
12,4,2,10,4
6,1,14,0,0
2,4,6,1,2
1,5,2,0,1
6,8,9,11,8
5,7,20,2,2
2,10,1,19,1
5,4,3,8,4
9,11,8,12,9
10,15,20,5,20
72,64,46,63,63
6,9,3,5,3
2,6,8,4,2
6,1,0,4,1
10,7,8,12,8
44,40,50,39,40
9,13,12,8,9
5,6,2,3,3
5,8,3,6,6
4,2,7,5,4
10,15,12,14,12
10,8,4,9,8
3,6,9,1,3
9,5,3,6,6
45,90,43,49,45
4,10,5,8,5
30,35,25,20,30
7,6,8,9,8
14,2,7,0,2
8,17,9,7,8
2,5,11,17,11
6,0,7,8,6
16,14,18,17,17
2,16,8,4,2
22,11,10,15,11
27,19,9,19,9
30,20,21,11,20
6,2,5,7,2
10,1000,100,20,100
15,17,29,14,14
9,18,2,5,2
5,8,10,6,8
14,16,10,18,14
13,19,17,15,17
12,7,10,9,7
12,7,6,9,6
23,43,40,50,40
14,24,12,18,14
10,14,16,11,10
20,15,10,0,10
9,11,23,21,11
45,2,0,8,0
10,5,15,20,10
